0.012 Tue May  7 01:28:20 2019
0.058 Tue May  7 01:29:44 2019
0.122 Tue May  7 01:31:05 2019
0.140 Tue May  7 01:32:45 2019
0.140 Tue May  7 01:34:15 2019
0.143 Tue May  7 01:35:49 2019
0.144 Tue May  7 01:37:19 2019
0.171 Tue May  7 01:38:46 2019
0.171 Tue May  7 01:40:16 2019
0.172 Tue May  7 01:41:47 2019
0.206 Tue May  7 01:43:11 2019
0.206 Tue May  7 01:44:34 2019
0.211 Tue May  7 01:46:03 2019
0.211 Tue May  7 01:47:23 2019
0.225 Tue May  7 01:48:41 2019
0.226 Tue May  7 01:50:03 2019
0.239 Tue May  7 01:51:22 2019
0.250 Tue May  7 01:52:45 2019
0.260 Tue May  7 01:54:08 2019
0.264 Tue May  7 01:55:31 2019
0.276 Tue May  7 01:56:52 2019
0.278 Tue May  7 01:58:22 2019
0.297 Tue May  7 01:59:43 2019
0.302 Tue May  7 02:01:11 2019
0.302 Tue May  7 02:02:46 2019
0.302 Tue May  7 02:04:13 2019
0.321 Tue May  7 02:05:38 2019
0.321 Tue May  7 02:07:04 2019
0.322 Tue May  7 02:08:32 2019
0.322 Tue May  7 02:09:53 2019
0.325 Tue May  7 02:11:19 2019
0.341 Tue May  7 02:12:34 2019
0.350 Tue May  7 02:13:59 2019
0.353 Tue May  7 02:15:14 2019
0.404 Tue May  7 02:16:31 2019
0.405 Tue May  7 02:17:54 2019
0.408 Tue May  7 02:19:19 2019
0.408 Tue May  7 02:20:46 2019
0.408 Tue May  7 02:22:15 2019
0.446 Tue May  7 02:23:34 2019
0.447 Tue May  7 02:24:57 2019
0.447 Tue May  7 02:26:27 2019
0.470 Tue May  7 02:27:47 2019
0.472 Tue May  7 02:29:09 2019
0.478 Tue May  7 02:30:27 2019
0.501 Tue May  7 02:31:48 2019
0.520 Tue May  7 02:33:09 2019
0.527 Tue May  7 02:34:28 2019
0.559 Tue May  7 02:35:45 2019
0.568 Tue May  7 02:36:59 2019
0.578 Tue May  7 02:38:34 2019
0.580 Tue May  7 02:39:52 2019
0.580 Tue May  7 02:41:08 2019
0.603 Tue May  7 02:42:31 2019
0.603 Tue May  7 02:43:51 2019
0.610 Tue May  7 02:45:16 2019
0.610 Tue May  7 02:46:42 2019
0.613 Tue May  7 02:47:58 2019
0.625 Tue May  7 02:49:23 2019
0.629 Tue May  7 02:50:44 2019
0.630 Tue May  7 02:52:14 2019
0.630 Tue May  7 02:53:37 2019
0.649 Tue May  7 02:54:53 2019
0.650 Tue May  7 02:56:12 2019
0.674 Tue May  7 02:57:29 2019
0.674 Tue May  7 02:58:57 2019
0.674 Tue May  7 03:00:24 2019
0.681 Tue May  7 03:01:41 2019
0.693 Tue May  7 03:03:02 2019
0.693 Tue May  7 03:04:31 2019
0.693 Tue May  7 03:05:58 2019
0.697 Tue May  7 03:07:22 2019
0.697 Tue May  7 03:08:42 2019
0.707 Tue May  7 03:10:01 2019
0.712 Tue May  7 03:11:21 2019
0.723 Tue May  7 03:12:40 2019
0.753 Tue May  7 03:13:57 2019
0.757 Tue May  7 03:15:22 2019
0.780 Tue May  7 03:16:37 2019
0.783 Tue May  7 03:17:52 2019
0.787 Tue May  7 03:19:13 2019
0.787 Tue May  7 03:20:40 2019
0.790 Tue May  7 03:21:58 2019
0.790 Tue May  7 03:23:13 2019
0.798 Tue May  7 03:24:38 2019
0.798 Tue May  7 03:26:01 2019
0.798 Tue May  7 03:27:24 2019
0.800 Tue May  7 03:28:46 2019
0.800 Tue May  7 03:30:10 2019
0.800 Tue May  7 03:31:22 2019
0.800 Tue May  7 03:32:40 2019
0.801 Tue May  7 03:34:07 2019
0.801 Tue May  7 03:35:25 2019
0.801 Tue May  7 03:36:40 2019
0.801 Tue May  7 03:37:57 2019
0.806 Tue May  7 03:39:16 2019
0.806 Tue May  7 03:40:36 2019
0.843 Tue May  7 03:41:50 2019
0.845 Tue May  7 03:43:12 2019
0.853 Tue May  7 03:44:32 2019
0.858 Tue May  7 03:45:56 2019
0.858 Tue May  7 03:47:23 2019
0.858 Tue May  7 03:48:43 2019
0.862 Tue May  7 03:50:00 2019
0.862 Tue May  7 03:51:17 2019
0.903 Tue May  7 03:52:39 2019
0.903 Tue May  7 03:54:04 2019
0.903 Tue May  7 03:55:34 2019
0.914 Tue May  7 03:56:53 2019
0.915 Tue May  7 03:58:17 2019
0.917 Tue May  7 03:59:39 2019
0.921 Tue May  7 04:00:58 2019
0.927 Tue May  7 04:02:11 2019
0.937 Tue May  7 04:03:30 2019
0.937 Tue May  7 04:04:53 2019
0.937 Tue May  7 04:06:15 2019
0.937 Tue May  7 04:07:27 2019
0.937 Tue May  7 04:08:44 2019
0.937 Tue May  7 04:10:07 2019
0.937 Tue May  7 04:11:29 2019
0.941 Tue May  7 04:12:52 2019
0.941 Tue May  7 04:14:17 2019
0.941 Tue May  7 04:15:38 2019
0.941 Tue May  7 04:17:02 2019
0.941 Tue May  7 04:18:26 2019
0.941 Tue May  7 04:19:47 2019
0.941 Tue May  7 04:21:05 2019
0.945 Tue May  7 04:22:21 2019
0.945 Tue May  7 04:23:42 2019
0.945 Tue May  7 04:25:05 2019

