0.012 Tue May  7 07:07:45 2019
0.052 Tue May  7 07:09:12 2019
0.117 Tue May  7 07:10:31 2019
0.133 Tue May  7 07:12:12 2019
0.136 Tue May  7 07:13:47 2019
0.136 Tue May  7 07:15:22 2019
0.139 Tue May  7 07:16:42 2019
0.160 Tue May  7 07:18:01 2019
0.165 Tue May  7 07:19:24 2019
0.165 Tue May  7 07:20:43 2019
0.165 Tue May  7 07:22:14 2019
0.165 Tue May  7 07:23:35 2019
0.190 Tue May  7 07:24:55 2019
0.200 Tue May  7 07:26:19 2019
0.203 Tue May  7 07:27:40 2019
0.204 Tue May  7 07:29:01 2019
0.205 Tue May  7 07:30:28 2019
0.205 Tue May  7 07:31:53 2019
0.220 Tue May  7 07:33:07 2019
0.229 Tue May  7 07:34:31 2019
0.229 Tue May  7 07:35:51 2019
0.229 Tue May  7 07:37:14 2019
0.254 Tue May  7 07:38:32 2019
0.255 Tue May  7 07:40:00 2019
0.255 Tue May  7 07:41:23 2019
0.262 Tue May  7 07:42:47 2019
0.262 Tue May  7 07:44:15 2019
0.270 Tue May  7 07:45:35 2019
0.270 Tue May  7 07:46:59 2019
0.295 Tue May  7 07:48:22 2019
0.349 Tue May  7 07:49:41 2019
0.349 Tue May  7 07:51:05 2019
0.375 Tue May  7 07:52:26 2019
0.379 Tue May  7 07:53:49 2019
0.380 Tue May  7 07:55:10 2019
0.399 Tue May  7 07:56:29 2019
0.400 Tue May  7 07:57:51 2019
0.402 Tue May  7 07:59:12 2019
0.405 Tue May  7 08:00:41 2019
0.407 Tue May  7 08:02:02 2019
0.429 Tue May  7 08:03:28 2019
0.454 Tue May  7 08:04:52 2019
0.454 Tue May  7 08:06:14 2019
0.476 Tue May  7 08:07:26 2019
0.496 Tue May  7 08:08:47 2019
0.497 Tue May  7 08:10:15 2019
0.498 Tue May  7 08:11:44 2019
0.498 Tue May  7 08:13:12 2019
0.498 Tue May  7 08:14:41 2019
0.516 Tue May  7 08:15:58 2019
0.519 Tue May  7 08:17:22 2019
0.519 Tue May  7 08:18:43 2019
0.519 Tue May  7 08:20:13 2019
0.546 Tue May  7 08:21:34 2019
0.548 Tue May  7 08:23:02 2019
0.575 Tue May  7 08:24:22 2019
0.598 Tue May  7 08:25:43 2019
0.619 Tue May  7 08:27:03 2019
0.620 Tue May  7 08:28:22 2019
0.626 Tue May  7 08:29:41 2019
0.626 Tue May  7 08:31:07 2019
0.631 Tue May  7 08:32:21 2019
0.640 Tue May  7 08:33:48 2019
0.640 Tue May  7 08:35:11 2019
0.646 Tue May  7 08:36:24 2019
0.656 Tue May  7 08:37:48 2019
0.660 Tue May  7 08:39:11 2019
0.662 Tue May  7 08:40:31 2019
0.663 Tue May  7 08:41:52 2019
0.665 Tue May  7 08:43:19 2019
0.665 Tue May  7 08:44:39 2019
0.665 Tue May  7 08:45:57 2019
0.673 Tue May  7 08:47:28 2019
0.674 Tue May  7 08:48:49 2019
0.675 Tue May  7 08:50:02 2019
0.677 Tue May  7 08:51:19 2019
0.705 Tue May  7 08:52:37 2019
0.723 Tue May  7 08:53:59 2019
0.723 Tue May  7 08:55:28 2019
0.723 Tue May  7 08:56:48 2019
0.727 Tue May  7 08:58:05 2019
0.764 Tue May  7 08:59:21 2019
0.771 Tue May  7 09:00:42 2019
0.783 Tue May  7 09:02:00 2019
0.795 Tue May  7 09:03:21 2019
0.813 Tue May  7 09:04:41 2019
0.814 Tue May  7 09:06:02 2019
0.833 Tue May  7 09:07:23 2019
0.837 Tue May  7 09:08:53 2019
0.837 Tue May  7 09:10:24 2019
0.843 Tue May  7 09:11:45 2019
0.859 Tue May  7 09:13:06 2019
0.860 Tue May  7 09:14:26 2019
0.880 Tue May  7 09:15:56 2019
0.880 Tue May  7 09:17:32 2019
0.880 Tue May  7 09:19:07 2019
0.891 Tue May  7 09:20:31 2019
0.892 Tue May  7 09:21:51 2019
0.892 Tue May  7 09:23:13 2019
0.899 Tue May  7 09:24:26 2019
0.915 Tue May  7 09:25:40 2019
0.926 Tue May  7 09:27:00 2019
0.926 Tue May  7 09:28:24 2019
0.926 Tue May  7 09:29:48 2019
0.927 Tue May  7 09:31:08 2019
0.927 Tue May  7 09:32:29 2019
0.929 Tue May  7 09:33:54 2019
0.929 Tue May  7 09:35:26 2019
0.929 Tue May  7 09:36:56 2019
0.930 Tue May  7 09:38:21 2019
0.930 Tue May  7 09:39:52 2019
0.930 Tue May  7 09:41:17 2019
0.930 Tue May  7 09:42:36 2019
0.933 Tue May  7 09:43:59 2019
0.933 Tue May  7 09:45:31 2019
0.933 Tue May  7 09:46:55 2019
0.933 Tue May  7 09:48:16 2019
0.942 Tue May  7 09:49:33 2019
0.942 Tue May  7 09:50:51 2019
0.943 Tue May  7 09:52:09 2019
0.954 Tue May  7 09:53:27 2019

